OID,Area_m,Area_km,Area_Proportion,State,Beaver_Dam,Pixel_count,RdNBR_mean,RdNBR_SD,Open_water
77,1413007.133,1.413007133,14.48245489,C,Y,1654,325.830089,291.3320913,
114,960593.7417,0.960593742,9.845495611,D,Y,1151,556.0730163,351.6572144,
134,606069.6146,0.606069615,6.211841147,D,Y,722,484.5282516,352.2048045,
136,575513.0867,0.575513087,5.898655511,B,Y,707,384.4752748,331.6458338,
135,586287.7676,0.586287768,6.009089371,D,Y,704,428.6637922,241.7025335,
56,567589.0077,0.567589008,5.817438571,C,N,688,219.2345364,246.4127608,
140,529128.7522,0.529128752,5.423244584,C,Y,652,407.2668958,304.7833932,
141,419246.5177,0.419246518,4.297019198,D,Y,495,298.1715763,252.040799,
32,325205.5414,0.325205541,3.333156975,E,N,396,217.7978806,254.1184352,
57,287984.956,0.287984956,2.951668845,B,Y,354,300.7104273,245.655485,
38,205992.2809,0.205992281,2.111294306,D,N,248,432.8421029,199.4044673,
137,196544.6333,0.196544633,2.014461724,B,Y,247,629.3547095,277.3845975,
44,190213.5017,0.190213502,1.949571515,E,N,233,457.6067811,402.377473,
40,174537.8183,0.174537818,1.788905392,C,Y,208,102.5498463,111.9048384,
24,172496.9323,0.172496932,1.767987564,C,Y,200,230.7068909,202.6587892,
4,160577.3597,0.16057736,1.645819269,D,N,193,150.3253559,148.3346804,
138,142101.1377,0.142101138,1.456449347,D,Y,169,688.2743588,274.6188089,
111,127015.4124,0.127015412,1.301829932,D,N,154,281.2020593,168.6913279,
133,120256.2627,0.120256263,1.232552801,D,Y,148,615.7626218,273.4558821,
0,120451.1342,0.120451134,1.234550114,A,Y,146,97.6340453,127.4724626,
73,113718.6012,0.113718601,1.165545787,B,Y,140,176.2396336,169.6921472,
67,105962.1833,0.105962183,1.08604727,C,Y,129,191.4196871,193.114743,
51,109638.6322,0.109638632,1.123728612,D,N,128,609.9521735,209.5827546,
143,103658.6185,0.103658618,1.062437146,D,N,122,267.8281218,202.3097707,
45,84000.55356,0.084000554,0.860954059,D,Y,102,286.7594282,342.7628883,
47,79870.99212,0.079870992,0.818628592,E,N,92,397.1152095,121.1529753,
25,73807.85871,0.073807859,0.7564852,E,N,88,408.947389,307.881747,
29,73903.86618,0.073903866,0.757469218,B,Y,86,222.5036519,158.4157088,
42,72001.94529,0.072001945,0.737975697,C,Y,85,479.5194815,200.9759934,
26,55646.53544,0.055646535,0.570342796,E,N,69,437.9109022,352.2484461,
46,48266.859,0.048266859,0.494705647,D,N,60,587.2459834,273.6868616,
88,52622.52928,0.052622529,0.539348591,D,Y,58,724.0778493,181.4549165,
113,45641.57213,0.045641572,0.46779807,E,N,55,856.3724116,150.9638516,
43,43175.45419,0.043175454,0.442521876,C,Y,52,537.3592341,207.9296456,
74,34561.209,0.034561209,0.354231156,E,N,41,815.1593211,217.6511387,
76,32953.60842,0.032953608,0.337754238,E,N,40,918.1609146,228.1006588,
60,31643.02366,0.031643024,0.324321549,E,N,39,855.6223771,196.8596381,
118,32232.34618,0.032232346,0.330361743,E,N,39,376.698241,196.5452168,
15,28319.38388,0.028319384,0.290256284,E,N,38,356.5675094,263.7357595,
2,31129.97784,0.031129978,0.319063145,B,Y,36,69.19671909,124.1566076,
105,28981.04805,0.028981048,0.297037935,B,Y,36,288.1513469,186.8933798,
65,28580.5522,0.028580552,0.292933099,E,N,34,719.1076319,100.5430629,
142,28613.47316,0.028613473,0.293270518,E,N,34,798.8195711,161.4287051,
107,25116.29469,0.025116295,0.257426588,E,N,30,96.07336159,122.5873698,
50,25705.35865,0.025705359,0.263464131,E,N,29,696.9290508,418.4280423,
121,23041.08667,0.023041087,0.236156981,E,N,29,920.4923727,105.8669581,
78,23452.85143,0.023452851,0.240377316,E,N,28,872.4426978,211.334058,
109,17176.89058,0.017176891,0.176052574,E,N,22,115.5975474,127.5060219,
91,16519.58369,0.016519584,0.169315582,E,N,20,1210.045972,93.05428576,
87,13844.41082,0.013844411,0.141896704,E,N,19,1100.273865,40.03884597,
106,15465.24957,0.01546525,0.158509305,B,Y,19,233.936267,203.6467385,
66,15442.29366,0.015442294,0.158274021,B,Y,17,235.9473518,146.8578792,
79,13116.21888,0.013116219,0.134433184,E,N,16,849.9352455,187.3719963,
130,13204.5256,0.013204526,0.135338274,E,N,15,871.3374919,175.3399019,
10,11669.84003,0.01166984,0.11960869,E,N,14,236.94154,131.0034758,
98,7254.843606,0.007254844,0.074357689,E,N,13,1142.485417,49.86645189,
11,9946.623027,0.009946623,0.101946774,E,N,12,365.8305664,138.9858082,
101,9627.46817,0.009627468,0.098675633,E,N,12,889.4247742,160.3344465,
22,8385.002959,0.008385003,0.085941128,E,N,11,412.4409013,150.400954,
63,9061.353374,0.009061353,0.092873304,E,N,11,883.3383734,92.57384171,
95,8660.94026,0.00866094,0.088769316,E,N,11,972.8839666,52.1540874,
115,9367.172118,0.009367172,0.096007759,E,N,11,541.6358032,107.3175228,
20,10693.62474,0.010693625,0.109603083,E,N,10,453.2091812,140.8561689,
52,7453.158008,0.007453158,0.07639029,D,N,10,526.9100876,214.7260513,
58,6836.534723,0.006836535,0.07007028,E,N,9,770.5594211,248.4076485,
82,7930.364231,0.007930364,0.081281361,E,N,9,1146.285672,36.67612238,
119,8145.321549,0.008145322,0.083484541,E,N,9,818.3181763,101.0592081,
8,7730.495293,0.007730495,0.079232827,E,N,8,679.6816864,86.95041277,
33,6640.770882,0.006640771,0.068063821,E,N,8,379.0951004,99.03911101,
84,6466.927215,0.006466927,0.06628203,E,N,8,1031.028053,49.23670142,
21,4796.982975,0.004796983,0.049166128,E,N,7,628.6135995,99.68468195,
53,4946.366268,0.004946366,0.050697215,D,N,7,547.1483002,160.5416054,
61,4697.592331,0.004697592,0.048147435,E,N,7,857.9498901,86.37330335,
102,4836.451891,0.004836452,0.04957066,E,N,7,614.0830296,104.4098201,
116,4793.519829,0.00479352,0.049130633,E,N,7,873.2596261,61.58093252,
120,7581.854211,0.007581854,0.077709347,E,N,7,917.8221436,75.13829849,
125,5031.135279,0.005031135,0.051566045,E,N,7,897.5237252,48.72538156,
27,4750.009839,0.00475001,0.048684682,E,N,6,812.7533468,94.41454023,
28,6612.373621,0.006612374,0.067772767,D,N,6,450.2781626,137.1207884,
31,5785.880663,0.005785881,0.059301722,E,N,6,461.1186879,244.111403,
34,6041.500443,0.0060415,0.061921667,E,N,6,515.9446818,52.00906751,
54,3511.253353,0.003511253,0.035988189,E,N,6,676.3118439,199.4620145,
59,4781.380418,0.00478138,0.049006211,E,N,6,740.0849101,114.6387113,
70,4611.062395,0.004611062,0.047260556,E,N,6,1067.415161,52.83468149,
14,4203.101394,0.004203101,0.043079207,E,N,5,513.9115967,70.06451274,
30,5720.92889,0.005720929,0.058636006,E,N,5,547.7091614,161.608383,
75,3555.363563,0.003555364,0.036440292,E,N,5,1264.655103,58.14531416,
86,5423.831995,0.005423832,0.055590945,E,N,5,1136.604077,46.86369604,
103,4767.109817,0.00476711,0.048859946,E,N,5,1178.03418,52.6117274,
110,3506.717966,0.003506718,0.035941704,E,N,5,756.039917,40.73043052,
123,3989.535964,0.003989536,0.040890292,E,N,5,745.3157227,96.4515103,
1,3354.862464,0.003354862,0.034385279,E,N,4,639.5102081,50.28146128,
19,3391.473875,0.003391474,0.034760523,E,N,4,437.3189545,131.337986,
39,3310.082119,0.003310082,0.033926308,E,N,4,239.8081112,126.6408267,
48,2241.087383,0.002241087,0.022969769,E,N,4,597.7669067,30.14982416,
64,3501.787975,0.003501788,0.035891175,E,N,4,1118.841965,150.0466381,
83,3351.141546,0.003351142,0.034347142,E,N,4,1177.637115,53.68307862,
90,1882.521129,0.001882521,0.019294685,E,N,4,1254.116364,49.15298932,
126,3549.549094,0.003549549,0.036380697,E,N,4,875.567337,79.43987238,
7,2442.576123,0.002442576,0.025034904,E,N,3,668.6106364,96.53393783,
16,2119.072723,0.002119073,0.021719193,E,N,3,561.581248,156.4998883,
37,1981.446172,0.001981446,0.020308606,E,N,3,724.74941,24.55288558,
81,4372.362333,0.004372362,0.044814027,E,N,3,1207.30603,42.26065747,
93,1362.727641,0.001362728,0.013967121,E,N,3,1066.468119,166.3652821,
117,1993.296015,0.001993296,0.020430059,E,N,3,880.8273722,51.63374122,
122,2409.464434,0.002409464,0.02469553,E,N,3,973.9940389,23.15026966,
124,1880.303169,0.001880303,0.019271952,E,N,3,689.2774048,112.9221442,
127,2918.962807,0.002918963,0.029917575,E,N,3,1092.286214,20.90227807,
132,2908.785451,0.002908785,0.029813264,B,Y,3,505.9428202,145.3530306,
5,1609.225189,0.001609225,0.016493569,E,N,2,692.5883789,25.05743408,
6,2240.347358,0.002240347,0.022962184,E,N,2,807.4553833,18.25415039,
9,815.7842428,0.000815784,0.008361287,E,N,2,811.1910095,12.14657593,
12,1856.456092,0.001856456,0.019027534,E,N,2,514.103302,20.85848999,
17,1082.830771,0.001082831,0.01109835,E,N,2,321.3838806,43.85528564,
35,1651.082788,0.001651083,0.016922584,E,N,2,711.7084351,30.86309814,
41,1761.91136,0.001761911,0.018058509,A,Y,2,331.521286,7.297073364,
