OID,FID,State,Beaver_Dam,Pixel_count,Area_m,Area_km,Area_Proportion,RdNBR_mean,RdNBR_SD,Open_water
1,0,A,1,146,58128.85965,0.05812886,1.201780785,97.6340453,127.4724626,
2,1,E,0,4,1620.32814,0.001620328,0.033499354,639.5102081,50.28146128,
3,2,B,1,36,15036.93111,0.015036931,0.310879914,69.19671909,124.1566076,
4,3,E,0,1,670.6171778,0.000670617,0.013864625,423.8380127,0,
5,4,D,0,193,77555.25601,0.077555256,1.603410372,150.3253559,148.3346804,
6,5,E,0,2,777.0877005,0.000777088,0.016065842,692.5883789,25.05743408,
7,6,E,0,2,1081.904657,0.001081905,0.022367757,807.4553833,18.25415039,
8,7,E,0,3,1179.576912,0.001179577,0.024387075,668.6106364,96.53393783,
9,8,E,0,8,3733.098875,0.003733099,0.077179675,679.6816864,86.95041277,
10,9,E,0,2,393.9418634,0.000393942,0.008144522,811.1910095,12.14657593,
11,10,E,0,14,5636.545941,0.005636546,0.11653235,236.94154,131.0034758,
12,11,E,0,12,4804.268821,0.004804269,0.099325498,365.8305664,138.9858082,
13,12,E,0,2,896.6958534,0.000896696,0.018538672,514.103302,20.85848999,
14,13,E,0,1,395.5131558,0.000395513,0.008177007,542.4172363,0,
15,14,E,0,5,2030.052158,0.002030052,0.041970162,513.9115967,70.06451274,
16,15,E,0,38,13679.50925,0.013679509,0.282815996,356.5675094,263.7357595,
17,16,E,0,3,1023.578125,0.001023578,0.02116189,561.581248,156.4998883,
18,17,E,0,2,523.0497705,0.00052305,0.010813754,321.3838806,43.85528564,
19,18,E,0,1,755.695634,0.000755696,0.015623573,476.7340393,0,
20,19,E,0,4,1637.99746,0.001637997,0.033864657,437.3189545,131.337986,
21,20,E,0,10,5164.618125,0.005164618,0.106775513,453.2091812,140.8561689,
22,21,E,0,7,2316.780161,0.00231678,0.047898099,628.6135995,99.68468195,
23,22,E,0,11,4050.265922,0.004050266,0.083736922,412.4409013,150.400954,
24,23,E,0,1,757.2787379,0.000757279,0.015656303,529.4376831,0,
25,24,C,1,201,86860.98367,0.086860984,1.795800946,230.593996,202.1603389,
26,25,E,0,88,35714.56097,0.035714561,0.738378034,408.947389,307.881747,
27,26,E,0,69,26926.22103,0.026926221,0.556684154,437.9109022,352.2484461,
28,27,E,0,6,2298.658628,0.002298659,0.047523447,812.7533468,94.41454023,
29,28,D,0,6,3199.853425,0.003199853,0.066155132,450.2781626,137.1207884,
30,29,B,1,86,35766.51047,0.03576651,0.73945206,222.5036519,158.4157088,
31,30,E,0,5,2768.119141,0.002768119,0.057229273,547.7091614,161.608383,
32,31,D,1,23,9645.632551,0.009645633,0.199417913,570.7469111,224.525961,
33,32,E,0,396,170399.2604,0.17039926,3.522906834,215.8671702,251.7317661,
34,33,E,0,8,3207.106731,0.003207107,0.06630509,379.0951004,99.03911101,
35,34,E,0,6,2917.861264,0.002917861,0.060325106,515.9446818,52.00906751,
36,35,E,0,2,797.3919116,0.000797392,0.01648562,711.7084351,30.86309814,
37,36,E,0,1,545.8086771,0.000545809,0.011284281,691.9366455,0,
38,37,E,0,3,956.8974038,0.000956897,0.019783304,724.74941,24.55288558,
